County,Value
Alameda,"593,500"
Alpine,"329,500"
Amador,"265,900"
Butte,"228,500"
Calaveras,"259,000"
Colusa,"205,000"
Contra Costa,"472,900"
Del Norte,"183,600"
El Dorado,"379,200"
Fresno,"204,900"
Glenn,"215,800"
Humboldt,"279,000"
Imperial,"159,000"
Inyo,"235,500"
Kern,"175,600"
Kings,"172,000"
Lake,"184,200"
Lassen,"174,500"
Los Angeles,"465,000"
Madera,"204,800"
Marin,"859,400"
Mariposa,"250,800"
Mendocino,"319,100"
Merced,"171,800"
Modoc,"144,600"
Mono,"286,100"
Monterey,"393,300"
Napa,"503,100"
Nevada,"355,900"
Orange,"584,200"
Placer,"380,900"
Plumas,"221,300"
Riverside,"276,300"
Sacramento,"259,400"
San Benito,"423,100"
San Bernardino,"256,000"
San Diego,"454,600"
San Francisco,"858,800"
San Joaquin,"246,900"
San Luis Obispo,"471,800"
San Mateo,"845,300"
Santa Barbara,"480,000"
Santa Clara,"752,400"
Santa Cruz,"615,200"
Shasta,"223,500"
Sierra,"170,300"
Siskiyou,"173,100"
Solano,"305,900"
Sonoma,"464,700"
Stanislaus,"216,000"
Sutter,"213,100"
Tehama,"178,600"
Trinity,"270,100"
Tulare,"169,600"
Tuolumne,"259,800"
Ventura,"481,400"
Yolo,"346,200"
Yuba,"190,700"
California,"409,300"